"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","recherche.ademe.fr/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","recherche.ademe.fr/104.18.1.202","443","INFO","HTTP","",""
"pre_128cipher","recherche.ademe.fr/104.18.1.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recherche.ademe.fr/104.18.1.202","443","OK","not offered","",""
"SSLv3","recherche.ademe.fr/104.18.1.202","443","OK","not offered","",""
"TLS1","recherche.ademe.fr/104.18.1.202","443","INFO","not offered","",""
"TLS1_1","recherche.ademe.fr/104.18.1.202","443","INFO","not offered","",""
"TLS1_2","recherche.ademe.fr/104.18.1.202","443","OK","offered","",""
"TLS1_3","recherche.ademe.fr/104.18.1.202","443","OK","offered with final","",""
"ALPN_HTTP2","recherche.ademe.fr/104.18.1.202","443","OK","h2","",""
"ALPN","recherche.ademe.fr/104.18.1.202","443","INFO","http/1.1","",""
"cipherlist_NULL","recherche.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recherche.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recherche.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recherche.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recherche.ademe.fr/104.18.1.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","recherche.ademe.fr/104.18.1.202","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","recherche.ademe.fr/104.18.1.202","443","INFO","not offered","",""
"cipherlist_STRONG_FS","recherche.ademe.fr/104.18.1.202","443","OK","offered","",""
"cipher_order-tls1_2","recherche.ademe.fr/104.18.1.202","443","OK","server","",""
"cipherorder_TLSv1_2","recherche.ademe.fr/104.18.1.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","recherche.ademe.fr/104.18.1.202","443","OK","server -- TLS 1.3 client determined","",""
"FS","recherche.ademe.fr/104.18.1.202","443","OK","offered","",""
