"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","wattris.ademe.fr/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","wattris.ademe.fr/104.18.0.202","443","INFO","HTTP","",""
"pre_128cipher","wattris.ademe.fr/104.18.0.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","wattris.ademe.fr/104.18.0.202","443","OK","not offered","",""
"SSLv3","wattris.ademe.fr/104.18.0.202","443","OK","not offered","",""
"TLS1","wattris.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_1","wattris.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_2","wattris.ademe.fr/104.18.0.202","443","OK","offered","",""
"TLS1_3","wattris.ademe.fr/104.18.0.202","443","OK","offered with final","",""
"ALPN_HTTP2","wattris.ademe.fr/104.18.0.202","443","OK","h2","",""
"ALPN","wattris.ademe.fr/104.18.0.202","443","INFO","http/1.1","",""
"cipherlist_NULL","wattris.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","wattris.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","wattris.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","wattris.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","wattris.ademe.fr/104.18.0.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","wattris.ademe.fr/104.18.0.202","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","wattris.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipherlist_STRONG_FS","wattris.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipher_order-tls1_2","wattris.ademe.fr/104.18.0.202","443","OK","server","",""
"cipherorder_TLSv1_2","wattris.ademe.fr/104.18.0.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","wattris.ademe.fr/104.18.0.202","443","OK","server -- TLS 1.3 client determined","",""
"FS","wattris.ademe.fr/104.18.0.202","443","OK","offered","",""
"FS_ciphers","wattris.ademe.fr/104.18.0.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","wattris.ademe.fr/104.18.0.202","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","wattris.ademe.fr/104.18.0.202","443","OK","prime256v1","",""
"TLS_extensions","wattris.ademe.fr/104.18.0.202","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","wattris.ademe.fr/104.18.0.202","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","wattris.ademe.fr/104.18.0.202","443","INFO","yes","",""
"sessionresumption_ticket","wattris.ademe.fr/104.18.0.202","443","INFO","supported","",""
"sessionresumption_ID","wattris.ademe.fr/104.18.0.202","443","INFO","not supported","",""
"TLS_timestamp","wattris.ademe.fr/104.18.0.202","443","INFO","random","",""
"certificate_compression","wattris.ademe.fr/104.18.0.202","443","INFO","0002/Brotli","",""
"clientAuth","wattris.ademe.fr/104.18.0.202","443","INFO","none","",""
"cert_numbers","wattris.ademe.fr/104.18.0.202","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","wattris.ademe.fr/104.18.0.202","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","wattris.ademe.fr/104.18.0.202","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","wattris.ademe.fr/104.18.0.202","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","wattris.ademe.fr/104.18.0.202","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","wattris.ademe.fr/104.18.0.202","443","INFO","8A4CF9C8A9187D770E426A0B6973EB74","",""
