"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","www.fresquedusol.com/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","www.fresquedusol.com/172.67.167.51","443","INFO","HTTP","",""
"pre_128cipher","www.fresquedusol.com/172.67.167.51","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.fresquedusol.com/172.67.167.51","443","OK","not offered","",""
"SSLv3","www.fresquedusol.com/172.67.167.51","443","OK","not offered","",""
"TLS1","www.fresquedusol.com/172.67.167.51","443","LOW","offered (deprecated)","",""
"TLS1_1","www.fresquedusol.com/172.67.167.51","443","LOW","offered (deprecated)","",""
"TLS1_2","www.fresquedusol.com/172.67.167.51","443","OK","offered","",""
"TLS1_3","www.fresquedusol.com/172.67.167.51","443","OK","offered with final","",""
"ALPN_HTTP2","www.fresquedusol.com/172.67.167.51","443","OK","h2","",""
"ALPN","www.fresquedusol.com/172.67.167.51","443","INFO","http/1.1","",""
"cipherlist_NULL","www.fresquedusol.com/172.67.167.51","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.fresquedusol.com/172.67.167.51","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.fresquedusol.com/172.67.167.51","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.fresquedusol.com/172.67.167.51","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.fresquedusol.com/172.67.167.51","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.fresquedusol.com/172.67.167.51","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.fresquedusol.com/172.67.167.51","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.fresquedusol.com/172.67.167.51","443","OK","offered","",""
"cipher_order-tls1","www.fresquedusol.com/172.67.167.51","443","OK","server","",""
"cipherorder_TLSv1","www.fresquedusol.com/172.67.167.51","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_1","www.fresquedusol.com/172.67.167.51","443","OK","server","",""
"cipherorder_TLSv1_1","www.fresquedusol.com/172.67.167.51","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_2","www.fresquedusol.com/172.67.167.51","443","OK","server","",""
"cipherorder_TLSv1_2","www.fresquedusol.com/172.67.167.51","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.fresquedusol.com/172.67.167.51","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.fresquedusol.com/172.67.167.51","443","OK","offered","",""
"FS_ciphers","www.fresquedusol.com/172.67.167.51","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_KEMs","www.fresquedusol.com/172.67.167.51","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.fresquedusol.com/172.67.167.51","443","OK","prime256v1","",""
"TLS_extensions","www.fresquedusol.com/172.67.167.51","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.fresquedusol.com/172.67.167.51","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.fresquedusol.com/172.67.167.51","443","INFO","yes","",""
"sessionresumption_ticket","www.fresquedusol.com/172.67.167.51","443","INFO","supported","",""
"sessionresumption_ID","www.fresquedusol.com/172.67.167.51","443","INFO","not supported","",""
"TLS_timestamp","www.fresquedusol.com/172.67.167.51","443","INFO","off by 0 seconds from your localtime","",""
"certificate_compression","www.fresquedusol.com/172.67.167.51","443","INFO","0002/Brotli","",""
"clientAuth","www.fresquedusol.com/172.67.167.51","443","INFO","none","",""
"cert_numbers","www.fresquedusol.com/172.67.167.51","443","INFO","1","",""
"cert_signatureAlgorithm","www.fresquedusol.com/172.67.167.51","443","OK","ECDSA with SHA256","",""
"cert_keySize","www.fresquedusol.com/172.67.167.51","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.fresquedusol.com/172.67.167.51","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.fresquedusol.com/172.67.167.51","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.fresquedusol.com/172.67.167.51","443","INFO","19C2B9E615BC84740EA376A411919011","",""
"cert_serialNumberLen","www.fresquedusol.com/172.67.167.51","443","INFO","16","",""
"cert_fingerprintSHA1","www.fresquedusol.com/172.67.167.51","443","INFO","6923BC759306BE8ECFAB2B11D1E029FD149F3062","",""
"cert_fingerprintSHA256","www.fresquedusol.com/172.67.167.51","443","INFO","0851DF6CAAF2A07F04DCBBDC3AD340B9BE60160AE75CEED0D040C561CBA79A28","",""
