"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","www.onpe.org/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","www.onpe.org/104.18.27.211","443","INFO","HTTP","",""
"pre_128cipher","www.onpe.org/104.18.27.211","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.onpe.org/104.18.27.211","443","OK","not offered","",""
"SSLv3","www.onpe.org/104.18.27.211","443","OK","not offered","",""
"TLS1","www.onpe.org/104.18.27.211","443","INFO","not offered","",""
"TLS1_1","www.onpe.org/104.18.27.211","443","INFO","not offered","",""
"TLS1_2","www.onpe.org/104.18.27.211","443","OK","offered","",""
"TLS1_3","www.onpe.org/104.18.27.211","443","OK","offered with final","",""
"ALPN_HTTP2","www.onpe.org/104.18.27.211","443","OK","h2","",""
"ALPN","www.onpe.org/104.18.27.211","443","INFO","http/1.1","",""
"cipherlist_NULL","www.onpe.org/104.18.27.211","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.onpe.org/104.18.27.211","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.onpe.org/104.18.27.211","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.onpe.org/104.18.27.211","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.onpe.org/104.18.27.211","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.onpe.org/104.18.27.211","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.onpe.org/104.18.27.211","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.onpe.org/104.18.27.211","443","OK","offered","",""
"cipher_order-tls1_2","www.onpe.org/104.18.27.211","443","OK","server","",""
"cipherorder_TLSv1_2","www.onpe.org/104.18.27.211","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.onpe.org/104.18.27.211","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.onpe.org/104.18.27.211","443","OK","offered","",""
"FS_ciphers","www.onpe.org/104.18.27.211","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384","",""
"FS_KEMs","www.onpe.org/104.18.27.211","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.onpe.org/104.18.27.211","443","OK","prime256v1","",""
"TLS_extensions","www.onpe.org/104.18.27.211","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.onpe.org/104.18.27.211","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.onpe.org/104.18.27.211","443","INFO","yes","",""
"sessionresumption_ticket","www.onpe.org/104.18.27.211","443","INFO","supported","",""
"sessionresumption_ID","www.onpe.org/104.18.27.211","443","INFO","not supported","",""
"TLS_timestamp","www.onpe.org/104.18.27.211","443","INFO","random","",""
"certificate_compression","www.onpe.org/104.18.27.211","443","INFO","0002/Brotli","",""
"clientAuth","www.onpe.org/104.18.27.211","443","INFO","none","",""
"cert_numbers","www.onpe.org/104.18.27.211","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","www.onpe.org/104.18.27.211","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","207A8F5D79CB87B00EA09BAA80E22477","",""
"cert_serialNumberLen <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","AA1AFF77255655F1C7AD66F5D3F3629AFAF584DE","",""
"cert_fingerprintSHA256 <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","6EBA0DA1D2978C06FC32C2BEFF50D65331FBB0CE531B21580B336D767C4AAAA1","",""
