"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","carnetadapt.org/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","carnetadapt.org/104.18.9.101","443","INFO","HTTP","",""
"pre_128cipher","carnetadapt.org/104.18.9.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","carnetadapt.org/104.18.9.101","443","OK","not offered","",""
"SSLv3","carnetadapt.org/104.18.9.101","443","OK","not offered","",""
"TLS1","carnetadapt.org/104.18.9.101","443","INFO","not offered","",""
"TLS1_1","carnetadapt.org/104.18.9.101","443","INFO","not offered","",""
"TLS1_2","carnetadapt.org/104.18.9.101","443","OK","offered","",""
"TLS1_3","carnetadapt.org/104.18.9.101","443","OK","offered with final","",""
"ALPN_HTTP2","carnetadapt.org/104.18.9.101","443","OK","h2","",""
"ALPN","carnetadapt.org/104.18.9.101","443","INFO","http/1.1","",""
"cipherlist_NULL","carnetadapt.org/104.18.9.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","carnetadapt.org/104.18.9.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","carnetadapt.org/104.18.9.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","carnetadapt.org/104.18.9.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","carnetadapt.org/104.18.9.101","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","carnetadapt.org/104.18.9.101","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","carnetadapt.org/104.18.9.101","443","INFO","not offered","",""
"cipherlist_STRONG_FS","carnetadapt.org/104.18.9.101","443","OK","offered","",""
"cipher_order-tls1_2","carnetadapt.org/104.18.9.101","443","OK","server","",""
"cipherorder_TLSv1_2","carnetadapt.org/104.18.9.101","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","carnetadapt.org/104.18.9.101","443","OK","server -- TLS 1.3 client determined","",""
"FS","carnetadapt.org/104.18.9.101","443","OK","offered","",""
"FS_ciphers","carnetadapt.org/104.18.9.101","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384","",""
"FS_KEMs","carnetadapt.org/104.18.9.101","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","carnetadapt.org/104.18.9.101","443","OK","prime256v1","",""
"TLS_extensions","carnetadapt.org/104.18.9.101","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","carnetadapt.org/104.18.9.101","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","carnetadapt.org/104.18.9.101","443","INFO","yes","",""
"sessionresumption_ticket","carnetadapt.org/104.18.9.101","443","INFO","supported","",""
"sessionresumption_ID","carnetadapt.org/104.18.9.101","443","INFO","supported","",""
"TLS_timestamp","carnetadapt.org/104.18.9.101","443","INFO","random","",""
"certificate_compression","carnetadapt.org/104.18.9.101","443","INFO","0002/Brotli","",""
"clientAuth","carnetadapt.org/104.18.9.101","443","INFO","none","",""
"cert_numbers","carnetadapt.org/104.18.9.101","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","carnetadapt.org/104.18.9.101","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","carnetadapt.org/104.18.9.101","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","carnetadapt.org/104.18.9.101","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","carnetadapt.org/104.18.9.101","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","carnetadapt.org/104.18.9.101","443","INFO","9F9D120AB8C1FE6D13A5BABAC873A5CB","",""
"cert_serialNumberLen <hostCert#1>","carnetadapt.org/104.18.9.101","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","carnetadapt.org/104.18.9.101","443","INFO","C5E7360136A055518E2F362E0A4A363DAC1B7730","",""
"cert_fingerprintSHA256 <hostCert#1>","carnetadapt.org/104.18.9.101","443","INFO","EDB37D5051195E629B83A9F5D375B5083367B2E04146087D44DC0BDE8766BFEC","",""
