"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","evenementresponsable.ademe.fr/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","HTTP","",""
"pre_128cipher","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","evenementresponsable.ademe.fr/104.18.0.202","443","OK","not offered","",""
"SSLv3","evenementresponsable.ademe.fr/104.18.0.202","443","OK","not offered","",""
"TLS1","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_1","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_2","evenementresponsable.ademe.fr/104.18.0.202","443","OK","offered","",""
"TLS1_3","evenementresponsable.ademe.fr/104.18.0.202","443","OK","offered with final","",""
"ALPN_HTTP2","evenementresponsable.ademe.fr/104.18.0.202","443","OK","h2","",""
"ALPN","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","http/1.1","",""
"cipherlist_NULL","evenementresponsable.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","evenementresponsable.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","evenementresponsable.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","evenementresponsable.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","evenementresponsable.ademe.fr/104.18.0.202","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"cipherlist_STRONG_FS","evenementresponsable.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipher_order-tls1_2","evenementresponsable.ademe.fr/104.18.0.202","443","OK","server","",""
"cipherorder_TLSv1_2","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","evenementresponsable.ademe.fr/104.18.0.202","443","OK","server -- TLS 1.3 client determined","",""
"FS","evenementresponsable.ademe.fr/104.18.0.202","443","OK","offered","",""
"FS_ciphers","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384","",""
"FS_KEMs","evenementresponsable.ademe.fr/104.18.0.202","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","evenementresponsable.ademe.fr/104.18.0.202","443","OK","prime256v1","",""
"TLS_extensions","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","yes","",""
"sessionresumption_ticket","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","supported","",""
"sessionresumption_ID","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","not supported","",""
"TLS_timestamp","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","random","",""
"certificate_compression","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","0002/Brotli","",""
"clientAuth","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","none","",""
"cert_numbers","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","evenementresponsable.ademe.fr/104.18.0.202","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","evenementresponsable.ademe.fr/104.18.0.202","443","INFO","Digital Signature, Key Encipherment","",""
