"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","experimentationsurbaines.ademe.fr/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","experimentationsurbaines.ademe.fr/104.18.1.202","443","INFO","HTTP","",""
"pre_128cipher","experimentationsurbaines.ademe.fr/104.18.1.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","not offered","",""
"SSLv3","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","not offered","",""
"TLS1","experimentationsurbaines.ademe.fr/104.18.1.202","443","INFO","not offered","",""
"TLS1_1","experimentationsurbaines.ademe.fr/104.18.1.202","443","INFO","not offered","",""
"TLS1_2","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","offered","",""
"TLS1_3","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","offered with final","",""
"ALPN_HTTP2","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","h2","",""
"ALPN","experimentationsurbaines.ademe.fr/104.18.1.202","443","INFO","http/1.1","",""
"cipherlist_NULL","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","experimentationsurbaines.ademe.fr/104.18.1.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","experimentationsurbaines.ademe.fr/104.18.1.202","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","experimentationsurbaines.ademe.fr/104.18.1.202","443","INFO","not offered","",""
"cipherlist_STRONG_FS","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","offered","",""
"cipher_order-tls1_2","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","server","",""
"cipherorder_TLSv1_2","experimentationsurbaines.ademe.fr/104.18.1.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","server -- TLS 1.3 client determined","",""
"FS","experimentationsurbaines.ademe.fr/104.18.1.202","443","OK","offered","",""
