"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","selecdepol.fr/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","selecdepol.fr/104.18.15.178","443","INFO","HTTP","",""
"pre_128cipher","selecdepol.fr/104.18.15.178","443","INFO","No 128 cipher limit bug","",""
"SSLv2","selecdepol.fr/104.18.15.178","443","OK","not offered","",""
"SSLv3","selecdepol.fr/104.18.15.178","443","OK","not offered","",""
"TLS1","selecdepol.fr/104.18.15.178","443","INFO","not offered","",""
"TLS1_1","selecdepol.fr/104.18.15.178","443","INFO","not offered","",""
"TLS1_2","selecdepol.fr/104.18.15.178","443","OK","offered","",""
"TLS1_3","selecdepol.fr/104.18.15.178","443","OK","offered with final","",""
"ALPN_HTTP2","selecdepol.fr/104.18.15.178","443","OK","h2","",""
"ALPN","selecdepol.fr/104.18.15.178","443","INFO","http/1.1","",""
"cipherlist_NULL","selecdepol.fr/104.18.15.178","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","selecdepol.fr/104.18.15.178","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","selecdepol.fr/104.18.15.178","443","OK","not offered","","CWE-327"
"cipherlist_LOW","selecdepol.fr/104.18.15.178","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","selecdepol.fr/104.18.15.178","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","selecdepol.fr/104.18.15.178","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","selecdepol.fr/104.18.15.178","443","INFO","not offered","",""
"cipherlist_STRONG_FS","selecdepol.fr/104.18.15.178","443","OK","offered","",""
"cipher_order-tls1_2","selecdepol.fr/104.18.15.178","443","OK","server","",""
"cipherorder_TLSv1_2","selecdepol.fr/104.18.15.178","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","selecdepol.fr/104.18.15.178","443","OK","server -- TLS 1.3 client determined","",""
"FS","selecdepol.fr/104.18.15.178","443","OK","offered","",""
"FS_ciphers","selecdepol.fr/104.18.15.178","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384","",""
"FS_KEMs","selecdepol.fr/104.18.15.178","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","selecdepol.fr/104.18.15.178","443","OK","prime256v1","",""
"TLS_extensions","selecdepol.fr/104.18.15.178","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","selecdepol.fr/104.18.15.178","443","INFO","valid for 64800 seconds only (<daily)","",""
